Real-time data - subject to revision
Copyright Environment Canada(2024)

"Real-Time Hydrometric Data for CHIPPEWA CREEK AT NORTH BAY (02DD014) [ON]"

02DD014,"CHIPPEWA CREEK AT NORTH BAY"
Description of parameters:
47,"Discharge (unit values)",m³/s

Date (EST),Parameter ,Value (m³/s),Approval,Qualifier
2024-07-17 00:00:00,47,0.243,Provisional,UNSPECIFIED
2024-07-17 00:05:00,47,0.250,Provisional,UNSPECIFIED
2024-07-17 00:10:00,47,0.250,Provisional,UNSPECIFIED
2024-07-17 00:15:00,47,0.261,Provisional,UNSPECIFIED
2024-07-17 00:20:00,47,0.276,Provisional,UNSPECIFIED
2024-07-17 00:25:00,47,0.295,Provisional,UNSPECIFIED
2024-07-17 00:30:00,47,0.303,Provisional,UNSPECIFIED
2024-07-17 00:35:00,47,0.303,Provisional,UNSPECIFIED
2024-07-17 00:40:00,47,0.295,Provisional,UNSPECIFIED
2024-07-17 00:45:00,47,0.336,Provisional,UNSPECIFIED
2024-07-17 00:50:00,47,0.413,Provisional,UNSPECIFIED
2024-07-17 00:55:00,47,0.443,Provisional,UNSPECIFIED
2024-07-17 01:00:00,47,0.448,Provisional,UNSPECIFIED
2024-07-17 01:05:00,47,0.433,Provisional,UNSPECIFIED
2024-07-17 01:10:00,47,0.428,Provisional,UNSPECIFIED
2024-07-17 01:15:00,47,0.399,Provisional,UNSPECIFIED
2024-07-17 01:20:00,47,0.389,Provisional,UNSPECIFIED
2024-07-17 01:25:00,47,0.371,Provisional,UNSPECIFIED
2024-07-17 01:30:00,47,0.349,Provisional,UNSPECIFIED
2024-07-17 01:35:00,47,0.344,Provisional,UNSPECIFIED
2024-07-17 01:40:00,47,0.336,Provisional,UNSPECIFIED
2024-07-17 01:45:00,47,0.323,Provisional,UNSPECIFIED
2024-07-17 01:50:00,47,0.327,Provisional,UNSPECIFIED
2024-07-17 01:55:00,47,0.327,Provisional,UNSPECIFIED
2024-07-17 02:00:00,47,0.319,Provisional,UNSPECIFIED
2024-07-17 02:05:00,47,0.323,Provisional,UNSPECIFIED
2024-07-17 02:10:00,47,0.319,Provisional,UNSPECIFIED
2024-07-17 02:15:00,47,0.311,Provisional,UNSPECIFIED
2024-07-17 02:20:00,47,0.307,Provisional,UNSPECIFIED
2024-07-17 02:25:00,47,0.303,Provisional,UNSPECIFIED
2024-07-17 02:30:00,47,0.295,Provisional,UNSPECIFIED
2024-07-17 02:35:00,47,0.295,Provisional,UNSPECIFIED
2024-07-17 02:40:00,47,0.295,Provisional,UNSPECIFIED
2024-07-17 02:45:00,47,0.299,Provisional,UNSPECIFIED
2024-07-17 02:50:00,47,0.303,Provisional,UNSPECIFIED
2024-07-17 02:55:00,47,0.303,Provisional,UNSPECIFIED
2024-07-17 03:00:00,47,0.303,Provisional,UNSPECIFIED
2024-07-17 03:05:00,47,0.303,Provisional,UNSPECIFIED
2024-07-17 03:10:00,47,0.303,Provisional,UNSPECIFIED
2024-07-17 03:15:00,47,0.291,Provisional,UNSPECIFIED
2024-07-17 03:20:00,47,0.291,Provisional,UNSPECIFIED
2024-07-17 03:25:00,47,0.283,Provisional,UNSPECIFIED
2024-07-17 03:30:00,47,0.279,Provisional,UNSPECIFIED
2024-07-17 03:35:00,47,0.272,Provisional,UNSPECIFIED
2024-07-17 03:40:00,47,0.272,Provisional,UNSPECIFIED
2024-07-17 03:45:00,47,0.272,Provisional,UNSPECIFIED
